dataset_number/I:physics_short/C:crossSection/D:genFiltEff/D:kFactor/D:relUncertUP/D:relUncertDOWN/D:generator_name/C
362039         Sherpa_CT10_Znunu_Pt70_140_CFilterBVeto_qsf4                371.85         0.219241076168      0.992245       0.0            0.0            Sherpa(v2.1.1)
362047         Sherpa_CT10_Znunu_Pt70_140_BFilter_qsf4                     371.85         0.131091771965      0.992245       0.0            0.0            Sherpa(v2.1.1)
362055         Sherpa_CT10_Znunu_Pt140_280_CVetoBVeto_qsf4                 55.762         0.61751166057       0.992245       0.0            0.0            Sherpa(v2.1.1)
362063         Sherpa_CT10_Znunu_Pt140_280_CFilterBVeto_qsf4               55.762         0.240079205845      0.992245       0.0            0.0            Sherpa(v2.1.1)
362071         Sherpa_CT10_Znunu_Pt140_280_BFilter_qsf4                    55.762         0.147658164484      0.992245       0.0            0.0            Sherpa(v2.1.1)
362079         Sherpa_CT10_Znunu_Pt280_500_CVetoBVeto_qsf4                 3.9494         0.593295358833      0.992245       0.0            0.0            Sherpa(v2.1.1)
362087         Sherpa_CT10_Znunu_Pt280_500_CFilterBVeto_qsf4               3.9494         0.256854977896      0.992245       0.0            0.0            Sherpa(v2.1.1)
362095         Sherpa_CT10_Znunu_Pt280_500_BFilter_qsf4                    3.9494         0.154541842117      0.992245       0.0            0.0            Sherpa(v2.1.1)
362103         Sherpa_CT10_Znunu_Pt500_700_CVetoBVeto_qsf4                 0.244756       0.57211714949       0.992245       0.0            0.0            Sherpa(v2.1.1)
362111         Sherpa_CT10_Znunu_Pt500_700_CFilterBVeto_qsf4               0.24475        0.269136141708      0.992245       0.0            0.0            Sherpa(v2.1.1)
362119         Sherpa_CT10_Znunu_Pt500_700_BFilter_qsf4                    0.24475        0.163020466847      0.992245       0.0            0.0            Sherpa(v2.1.1)
362127         Sherpa_CT10_Znunu_Pt700_1000_CVetoBVeto_qsf4                0.042971       0.57250240854       0.992245       0.0            0.0            Sherpa(v2.1.1)
362135         Sherpa_CT10_Znunu_Pt700_1000_CFilterBVeto_qsf4              0.042971       0.278700773259      0.992245       0.0            0.0            Sherpa(v2.1.1)
362143         Sherpa_CT10_Znunu_Pt700_1000_BFilter_qsf4                   0.042971       0.1487968182        0.992245       0.0            0.0            Sherpa(v2.1.1)
362151         Sherpa_CT10_Znunu_Pt1000_2000_CVetoBVeto_qsf4               0.0056805      0.562349414867      0.992245       0.0            0.0            Sherpa(v2.1.1)
362159         Sherpa_CT10_Znunu_Pt1000_2000_CFilterBVeto_qsf4             0.0056805      0.286103030225      0.992245       0.0            0.0            Sherpa(v2.1.1)
362167         Sherpa_CT10_Znunu_Pt1000_2000_BFilter_qsf4                  0.0056805      0.174198487034      0.992245       0.0            0.0            Sherpa(v2.1.1)
362175         Sherpa_CT10_Znunu_Pt2000_E_CMS_CVetoBVeto_qsf4              2.6213e-05     0.574770713437      0.992245       0.0            0.0            Sherpa(v2.1.1)
362183         Sherpa_CT10_Znunu_Pt2000_E_CMS_CFilterBVeto_qsf4            2.6213e-05     0.32266660355       0.992245       0.0            0.0            Sherpa(v2.1.1)
362191         Sherpa_CT10_Znunu_Pt2000_E_CMS_BFilter_qsf4                 2.6213e-05     0.215330840201      0.992245       0.0            0.0            Sherpa(v2.1.1)
305194         Sherpa_CT10_Zee2JetsEW1JetQCD15GeVM40_ckkw15                2.3503         1.0000E+00          1.0            0.0            0.0            Sherpa(v2.1.1)
362192         Sherpa_CT10_Zee_Pt0_70_CVetoBVeto_ckkw15                    2212.0         0.7759              1.011006       0.0            0.0            Sherpa(v2.1.1)
362200         Sherpa_CT10_Zee_Pt0_70_CFilterBVeto_ckkw15                  2212.0         0.1436              1.011006       0.0            0.0            Sherpa(v2.1.1)
362208         Sherpa_CT10_Zee_Pt0_70_BFilter_ckkw15                       2212.0         0.08067             1.011006       0.0            0.0            Sherpa(v2.1.1)
362216         Sherpa_CT10_Zee_Pt70_140_CVetoBVeto_ckkw15                  73.22          0.6463              1.011006       0.0            0.0            Sherpa(v2.1.1)
362224         Sherpa_CT10_Zee_Pt70_140_CFilterBVeto_ckkw15                73.22          0.2224              1.011006       0.0            0.0            Sherpa(v2.1.1)
362232         Sherpa_CT10_Zee_Pt70_140_BFilter_ckkw15                     73.22          0.1376              1.011006       0.0            0.0            Sherpa
362240         Sherpa_CT10_Zee_Pt140_280_CVetoBVeto_ckkw15                 10.65          0.6154              1.011006       0.0            0.0            Sherpa
362248         Sherpa_CT10_Zee_Pt140_280_CFilterBVeto_ckkw15               10.65          0.2443              1.011006       0.0            0.0            Sherpa
362256         Sherpa_CT10_Zee_Pt140_280_BFilter_ckkw15                    10.65          0.1491              1.011006       0.0            0.0            Sherpa
362264         Sherpa_CT10_Zee_Pt280_500_CVetoBVeto_ckkw15                 0.7298         0.592               1.011006       0.0            0.0            Sherpa
362272         Sherpa_CT10_Zee_Pt280_500_CFilterBVeto_ckkw15               0.7298         0.2641              1.011006       0.0            0.0            Sherpa
362280         Sherpa_CT10_Zee_Pt280_500_BFilter_ckkw15                    0.7298         0.1593              1.011006       0.0            0.0            Sherpa
362288         Sherpa_CT10_Zee_Pt500_700_CVetoBVeto_ckkw15                 0.04417        0.5749              1.011006       0.0            0.0            Sherpa
362296         Sherpa_CT10_Zee_Pt500_700_CFilterBVeto_ckkw15               0.04417        0.274               1.011006       0.0            0.0            Sherpa
362304         Sherpa_CT10_Zee_Pt500_700_BFilter_ckkw15                    0.04417        0.1819              1.011006       0.0            0.0            Sherpa
362312         Sherpa_CT10_Zee_Pt700_1000_CVetoBVeto_ckkw15                0.007646       0.627               1.011006       0.0            0.0            Sherpa
362320         Sherpa_CT10_Zee_Pt700_1000_CFilterBVeto_ckkw15              0.007646       0.2815              1.011006       0.0            0.0            Sherpa
362328         Sherpa_CT10_Zee_Pt700_1000_BFilter_ckkw15                   0.007646       0.1845              1.011006       0.0            0.0            Sherpa
362336         Sherpa_CT10_Zee_Pt1000_2000_CVetoBVeto_ckkw15               0.0009891      0.5491              1.011006       0.0            0.0            Sherpa(v2.1.1)
362344         Sherpa_CT10_Zee_Pt1000_2000_CFilterBVeto_ckkw15             0.0009891      0.2968              1.011006       0.0            0.0            Sherpa(v2.1.1)
362352         Sherpa_CT10_Zee_Pt1000_2000_BFilter_ckkw15                  0.0009891      0.1856              1.011006       0.0            0.0            Sherpa(v2.1.1)
362360         Sherpa_CT10_Zee_Pt2000_E_CMS_CVetoBVeto_ckkw15              4.419e-06      0.5437              1.011006       0.0            0.0            Sherpa(v2.1.1)
362368         Sherpa_CT10_Zee_Pt2000_E_CMS_CFilterBVeto_ckkw15            4.419e-06      0.3212              1.011006       0.0            0.0            Sherpa(v2.1.1)
362376         Sherpa_CT10_Zee_Pt2000_E_CMS_BFilter_ckkw15                 4.419e-06      0.2074              1.011006       0.0            0.0            Sherpa(v2.1.1)
305195         Sherpa_CT10_Zee2JetsEW1JetQCD15GeVM40_ckkw30                2.1911         1.0000E+00          1.0            0.0            0.0            Sherpa(v2.1.1)
362193         Sherpa_CT10_Zee_Pt0_70_CVetoBVeto_ckkw30                    2175.0         0.7793              1.010830       0.0            0.0            Sherpa(v2.1.1)
362201         Sherpa_CT10_Zee_Pt0_70_CFilterBVeto_ckkw30                  2175.0         0.142               1.010830       0.0            0.0            Sherpa(v2.1.1)
362209         Sherpa_CT10_Zee_Pt0_70_BFilter_ckkw30                       2175.0         0.07919             1.010830       0.0            0.0            Sherpa(v2.1.1)
362217         Sherpa_CT10_Zee_Pt70_140_CVetoBVeto_ckkw30                  74.47          0.6582              1.010830       0.0            0.0            Sherpa(v2.1.1)
362225         Sherpa_CT10_Zee_Pt70_140_CFilterBVeto_ckkw30                74.47          0.2176              1.010830       0.0            0.0            Sherpa(v2.1.1)
362233         Sherpa_CT10_Zee_Pt70_140_BFilter_ckkw30                     74.47          0.129               1.010830       0.0            0.0            Sherpa
362241         Sherpa_CT10_Zee_Pt140_280_CVetoBVeto_ckkw30                 11.47          0.6283              1.010830       0.0            0.0            Sherpa
362249         Sherpa_CT10_Zee_Pt140_280_CFilterBVeto_ckkw30               11.47          0.2428              1.010830       0.0            0.0            Sherpa
362257         Sherpa_CT10_Zee_Pt140_280_BFilter_ckkw30                    11.47          0.143               1.010830       0.0            0.0            Sherpa
362265         Sherpa_CT10_Zee_Pt280_500_CVetoBVeto_ckkw30                 0.8163         0.5939              1.010830       0.0            0.0            Sherpa
362273         Sherpa_CT10_Zee_Pt280_500_CFilterBVeto_ckkw30               0.8163         0.2631              1.010830       0.0            0.0            Sherpa
362281         Sherpa_CT10_Zee_Pt280_500_BFilter_ckkw30                    0.8163         0.1541              1.010830       0.0            0.0            Sherpa
362289         Sherpa_CT10_Zee_Pt500_700_CVetoBVeto_ckkw30                 0.05076        0.574               1.010830       0.0            0.0            Sherpa
362297         Sherpa_CT10_Zee_Pt500_700_CFilterBVeto_ckkw30               0.05076        0.2749              1.010830       0.0            0.0            Sherpa
362305         Sherpa_CT10_Zee_Pt500_700_BFilter_ckkw30                    0.05076        0.1788              1.010830       0.0            0.0            Sherpa
362313         Sherpa_CT10_Zee_Pt700_1000_CVetoBVeto_ckkw30                0.009003       0.6041              1.010830       0.0            0.0            Sherpa
362321         Sherpa_CT10_Zee_Pt700_1000_CFilterBVeto_ckkw30              0.009003       0.2868              1.010830       0.0            0.0            Sherpa
362329         Sherpa_CT10_Zee_Pt700_1000_BFilter_ckkw30                   0.009003       0.1811              1.010830       0.0            0.0            Sherpa(v2.1.1)
362337         Sherpa_CT10_Zee_Pt1000_2000_CVetoBVeto_ckkw30               0.00116        0.5653              1.010830       0.0            0.0            Sherpa(v2.1.1)
362345         Sherpa_CT10_Zee_Pt1000_2000_CFilterBVeto_ckkw30             0.00116        0.2838              1.010830       0.0            0.0            Sherpa(v2.1.1)
362353         Sherpa_CT10_Zee_Pt1000_2000_BFilter_ckkw30                  0.00116        0.1509              1.010830       0.0            0.0            Sherpa(v2.1.1)
362361         Sherpa_CT10_Zee_Pt2000_E_CMS_CVetoBVeto_ckkw30              5.609e-06      0.5437              1.010830       0.0            0.0            Sherpa(v2.1.1)
362369         Sherpa_CT10_Zee_Pt2000_E_CMS_CFilterBVeto_ckkw30            5.609e-06      0.2412              1.010830       0.0            0.0            Sherpa(v2.1.1)
362377         Sherpa_CT10_Zee_Pt2000_E_CMS_BFilter_ckkw30                 5.609e-06      0.2151              1.010830       0.0            0.0            Sherpa(v2.1.1)
305200         Sherpa_CT10_Zee2JetsEW1JetQCD15GeVM40_qsf025                2.54           1.0000E+00          1.0            0.0            0.0            Sherpa(v2.1.1)
362198         Sherpa_CT10_Zee_Pt0_70_CVetoBVeto_qsf025                    2240.0         0.7811              1.010401       0.0            0.0            Sherpa(v2.1.1)
362206         Sherpa_CT10_Zee_Pt0_70_CFilterBVeto_qsf025                  2240.0         0.1413              1.010401       0.0            0.0            Sherpa(v2.1.1)
362214         Sherpa_CT10_Zee_Pt0_70_BFilter_qsf025                       2240.0         0.07823             1.010401       0.0            0.0            Sherpa(v2.1.1)
362222         Sherpa_CT10_Zee_Pt70_140_CVetoBVeto_qsf025                  86.04          0.6626              1.010401       0.0            0.0            Sherpa(v2.1.1)
362230         Sherpa_CT10_Zee_Pt70_140_CFilterBVeto_qsf025                86.04          0.2145              1.010401       0.0            0.0            Sherpa
362238         Sherpa_CT10_Zee_Pt70_140_BFilter_qsf025                     86.04          0.1248              1.010401       0.0            0.0            Sherpa
362246         Sherpa_CT10_Zee_Pt140_280_CVetoBVeto_qsf025                 12.63          0.6263              1.010401       0.0            0.0            Sherpa
